question,answer,chain_q,chain_a
"Sh Vikram Singh wife and only son died after immediately retirement from irrigation department, Meerut UP.  He remarried and born a son.  He nominated both in service book and After death of sh vikram singh, new wife pension was sanctioned and paid.  After some time she got missing due to depression.

Minor child 09 years old got guardianship from court by elder sister.

Department is denying pension.

How he can deny????( Meerut, Uttar Pradesh )","Dear Client,According to OM No. 1/47/87-P&PW dated 30/3/1989, issued by the Department of Pension and Pensioners' Welfare,  Government of India. Ministry of Personnel, Public Grievances and Pensions,  the family pension shall be paid to such son or daughter through the Guardian if he or she is a minor. under Sub-rule 6 of Rule 54 of CCS (Pension) Rules, 1972. As per Sub Rule 6(ii) of Rule 54, in the case of an unmarried son family pension will be payable until he attains the age of 25 years or until he gets married or until he starts earning his livelihood, whichever is the earliest. Referring to the above circulars and the provision of Sub-rule 6 of Rule 54 of CCS (Pension) Rules, 1972, you can apply the concerned Deptt. for an appropriate order failing which you may escalate the matter before the High Court seeking appropriate relief. If required, reach out to an Advocate for guidance and steps.","[""HKG::HMGA_6"", ""HKG::CCS_54""]","[""HKG::CCS_54"", ""HKG::CCS (Pension) Rules, 1972"", ""PC::Rule 54 14 b of the Central Civil Services Pension Rules, 1972"", ""PC::Sub-Rule 18 of Rule 14 of CCS CCA Rules""]"
"Husband has filed divorce on cruelty after I found he has emotional affair though he apologize for it.No hearing done till yet.Mediation was also failed.I dont want divorce.He forced me to leave house also after filing divorce.its been 8 months we are living separately.I filed DV case after 7 months no hearing done in this case also.I need suggestion Shall I continue with DV case or withdraw it I really want to save marriage I dont want to harrass them.What should I do pls advice.And if DV case continue hw much time it will take to finalize.( Pune, Maharashtra )","Hi,The facts are not clear.More information is required to help you out.","[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""PC::Satisfaction Required for Detention Must be Clear"", ""PC::Defendants Required to Maintain Property"", ""PC::Prosecution Required to Establish Offence"", ""PC::Petitioner Required to Leave India""]"
"My wife responded me dt iam a cruel sadist and irresponsible person, it's very difficult to live under same roof,iam waiting for her since 3 yrs, I want to go for other marriage, is it applicable( Hyderabad, Telangana )",If you and your wife are legally divorced by a decree of divorce and period of appeal has been expired then you can remarry a second marriage. The allegations levelled by wife amount to cruelty on the basis of which you can file divorce case on the ground of cruelty. Without dissolution of first marriage by a decree of divorce by court you cannot remarry.,"[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""PC::Marriage Dissolved by Decree of Divorce"", ""PC::Decree of Divorce Obtained on Grounds of Cruelty"", ""PC::Decree of Divorce Granted"", ""PC::Decree of Divorce Granted by Trial Court""]"
"My Father has a Property in Coimbatore and it requires to be registered in my name. My father is expired and mother is a bedpatient. We live in Chennai. Can i register the property in my name in any of the registration offices in Chennai? Is there a Possibility owing to my mother's situation.( Chennai, Tamil Nadu )","Dear client,  Make an application addrssing to the condcerned officer in Revenue Office of your local area mentioning the fact of death, and total children of your parents including females, and pray to update the record as per inheritance, attach the death certificate with that. Mention the properties also.","[""HKG::HSA_8"", ""HKG::HSA_10"", ""HKG::MWPSC_23"", ""HKG::ISA_37""]","[""PC::Death Certificate Considered Inadmissible"", ""PC::Children of Second Marriage Denied Inheritance"", ""PC::Respondent Received Compensation as per Settlement"", ""PC::Criminal Proceedings to be Quashed as per Settlement""]"
"How to dissolve the divorce(mutual consent) after its awarded in Karnataka?
Any website to check the Marriage Id if it's Married or Divorced. I know to track by MC number.
Boy was the petitioner.  Any legal issues if boy continues to live with girl without dissolving divorce they took.( Tumkur, Karnataka )","going for dissolving divorce is more costly and time consuming then remarriage.no legal issues for you to continue to live with ex-wife if she agreesHope this clarifies,Advocate Ankur Goel","[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""PC::Child Prefers to Live with Mother"", ""PC::Wife Refused to Live with Husband Due to Impotence"", ""PC::Child Expressed Desire to Live with Mother"", ""PC::Children Expressed Desire to Live with Respondent""]"
"Hi There,

I need a suggestion and help in my case.

Long back in 2006 I left India and a case was registered again me and my family. After a long battle case was in our favor but I didn't come because of fear.

Now I'm doing well and wants to come to India to set-up my business here. I need the OCI and for that I have sent the expired Indian passport to embassy. Later it was told that my passport was impounded by Gurgaon police. Now I'm not sure how could I proceed in this case.
Case is already closed but I was not there and that girl took the divorce and got married.
Questions:
1. How could I proceed this issue ?
2. How could I get the clearance from the local police (Gurgaon) so that I could get the OCI ?

Please suggest.
Regards,
Manu( Gurgaon, Haryana )","Dear client,Your case has been closed and five years have been passed. And if you have such documents from court of about ur case is closed long back , then you may apply for fresh. If you need to discuss then,  u need to have consultancy by paying fees for proper legal discussion.Thanks","[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""PC::High Court Held Exemption Should Have Been Granted"", ""HKG::BHAGAT_V_BHAGAT_1994"", ""PC::Appeal Found to Have Abated"", ""PC::High Court Remanded Case for Fresh Consideration""]"
"Dear sir/Madam

I am 41 year old women having 2 sister-in-law and in laws. I am taking care of my husband's parents since from last 18 years. Now from past 5 years i have lots of differences with my mother in law because of this I am in stress on daily basis. The property amoung 3 brothers has been divided 22 years back itself. 

initially i and my husband accepted that my inlaws will stay with us but they are not recognizing my effort of look after them. we told them if they are not ready to recognize us then stay parallelly with other two sons, for them this also not acceptable. My father in laws says that he born and brought up here so he wont leave his house (the house is mutated to my husband at the time of division). This created a lots of gap between my family and with in laws. Other two sons family are also not ready to take care their parent atleast for few months But they only tranfer money to his fathers account and evaded from the responsibilites of taking care of their parents

Because of these development I am facing lots of stress due this I am continously emotional pain in my heart area and I may fear it could escalate to other major problem. I consulted psychiatrist they have give the some medicines to control the stress but my real stress is caused because of my sister in law and their family who lure with money to my in laws.

Now I have taken lots of stress and lost lot of health because of this I am continuosly under moniter and homopathic medicine to maintain my body health. Becasue of my health condition i am my husband decided to move out of this house. 

We are facing this unnecessary problem because of I feel the conspiracy from all the members from all in laws now I want my compensation from the 2 sister in laws and their respective husband for the detirioted health and stress which i took from last 18 years. In contrary they enjoying their life without the responsibility of their inlaws 

can you please guide what me options I do have in law or in the National Commission for Women Act or in DVA or in Equal Remuneration Act

I am sharing my husbands phone number is registration feel free to share your number to him( Shimoga, Karnataka )",You donot have any right to claim any compensation from your sister in law's etc. Your husband is legally and morally bound to take care of your in-laws. Even your in-laws are entitled to claim maintenance etc under senior citizens Act from any son or daughter of their choice. You and your husband can talk to in laws to sort out the difference s you and your husband can discuss with other sobs and daughters about the issue of dividing the responsibility mutually citing your health issue. You can also take help of counsellors.,"[""HKG::HMA_24"", ""HKG::HMA_25"", ""HKG::CRPC_125"", ""HKG::CRPC_128""]","[""PC::Threats to Victim and In-Laws"", ""PC::Strained Relationship with In-Laws"", ""PC::Murder of Sister-in-law"", ""HKG::PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE""]"
"I would like to marry a girl who is a divorcee.. but her parents are not accepting because of caste issues.. her divorce decree is with her parents and not accepting us...please help me whether if I can deal with this without decree...?( Hyderabad, Telangana )",Divorce decree second copy can be taken from court.you can marry with her after getting second copy.,"[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""PC::High Court Directed Security to be Taken from Appellant"", ""PC::Management of Schools Can Be Taken Over for Public Interest"", ""PC::V.P. Latex Can Be Vulcanised"", ""PC::Executive Instructions Can Be Altered""]"
"I am 26 years old now. I have got engaged to a girl who as 18 years old now. Which is legal as of now. We are practicing Islam. This engagement has happened with the mutual acceptance of both of us and our families without any force by any means. Now the government is planning to increase the minimum age of marriage of a women from 18 to 21. We want to get married in a few months. What are the possibilities to make our marriage legal, even after the amendment bill has been passed in the parliament. Thanks in advance for everyone who is replying for my query.( Kanyakumari, Tamil Nadu )","Dear client,You have not got married yet, but in islam , when a girl starts ger first mensuration she can marry . While there is law against child marriage at present as you have said 18 ys. for girl and presently government is planning to  fix 21yrs fort the girl. Which has not been implemented and legislated yet . Hence, you can di aaoon as possible . Nothing would be illegal. Thanks","[""PC::Trial Court Found Appellant to be 18 Years Old"", ""PC::District Sessions Judge Found Appellant Over 18 Years Old"", ""HKG::DP_3"", ""PC::Court Found Age Above 18 Years""]","[""HKG::child_marriage"", ""PC::Minor Girl Employed as Maid"", ""PC::Board Has Power to Fix Quotas"", ""PC::Dismissal Found to Be Illegal and Void""]"
"meri patni bahut gussa wali hai house wife hai,har cchooti moti baat par wo mujhse jhagda karti hai aur hinsa par utaru ho jaati hai,kabhi gusssa me mujhse bhi kuch galat na ho jaye iske liye mujhe kya kya sawdhani baratani chaiye, maine pure ghar par camera lagwa diya hai taaki uski saari baate recording hoti rahe...mera ek beta hai 11 saal ka hai.sath me meri maa bhi rahti hai jiski bhi wo izzat nahi karti hai...aur unse bhi jhagda karti hai, uske bure bartaw ke chalte beta ka bhi school se complain aane laga hai..kya karu( Jamshedpur, Jharkhand )",Either to adjust or file divorce.If my answer is helpful to you then please give my FIVE STAR,"[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""HKG::HMA_13"", ""PC::District Magistrate Required to Give Opportunity to Tenant"", ""HKG::PROC_CHILD_CUSTODY"", ""PC::High Court Declined to Answer Second Question""]"
"My sister is not giving my share from our parents property. Paresnts passed away in September 2023. Since then she is staying in that house without paying me 50% rent of that house.( Mumbai suburban, Maharashtra )","Dear Client,If your parents died intestate (without a will), then you and your sister are equally entitled to the property according to the law of inheritance. You can file a suit before the jurisdictional civil court and seek a partition decree or a declaration under Section 34 of the Specific Relief Act. If required, you can consult an advocate for advice and assistance in the matter.Hope it helps.Thank you.","[""HKG::HSA_8"", ""HKG::HSA_10"", ""HKG::MWPSC_23"", ""HKG::ISA_37""]","[""PC::Section 34 of the Specific Relief Act"", ""PC::Section 34 of the Specific Relief Act, 1963"", ""PC::Section 6 of the Specific Relief Act"", ""PC::Section 6 of the Specific Relief Act, 1963""]"
"Sir Amaka ai bapare aktu help korun( Hooghly, West Bengal )",Beypar ta ki?,"[""PC::West Bengal Land Reforms Act, 1955"", ""PC::Section 8 of the West Bengal Premises Tenancy Act, 1956"", ""PC::Section 5 of the West Bengal Estates Acquisition Act, 1953"", ""PC::Section 6(1)(b) of the West Bengal Estates Acquisition Act, 1953""]","[""PC::Eligibility Criteria for Admission Challenged"", ""HKG::child_marriage"", ""HKG::adoption"", ""HKG::PROC_LEGAL_AID_ACCESS""]"
"Having problem with my husband who is not earning and verbally physical abusing.i am working having girl baby who is 6 years old.staying In joint family, my baby is too attached to her grandmother so if I file divorce will she be with me( Cuddalore, Tamil Nadu )",so innocent. from where grandmother came to take daughter ?mother of child daughter is natural guardian.so your daughter will be with you.you can take divorce with ease.,"[""HKG::HMA_24"", ""HKG::HMA_25"", ""HKG::CRPC_125"", ""HKG::CRPC_128""]","[""PC::Respondents Failed to Take Delivery of Goods"", ""PC::Husband Offered to Take Back Wife"", ""PC::Government Power to Take Over Lands Limited"", ""PC::Possession of Land Claimed to be with Appellant""]"
"My Mother's sister's daughter has secretly married to a guy who was his brother's friend. There were three persons present in the wedding my mother's sister,her daughter and her son. Somehow,I got to know about it. I have told my family and my family told another family. Now, they are aware that we were the first to reveal about the wedding.In my mother's sister family everyone is kind of freak(suicidal). Now, they are threatening us that if anything happens to their family members(related to any family member suicide) they will sue us.I have a government job that's why we are scare. What are precautions that can be taken before anything goes wrong. Please suggest me( Ranchi, Jharkhand )","Dear Sir,Immediately lodge a complaint with police and keep an acknowledgement of such complaint to face future consequences, if any.","[""PC::Adoption of Wife's Sister's Daughter's Son Validated"", ""PC::Debtor and Respondent are Joint Family Members"", ""PC::Family Members Expressed Doubts About Will"", ""HKG::CCS_54""]","[""PC::Prosecution Failed to Establish Authorization to Lodge Complaint"", ""PC::Acknowledgement of Liability Disputed"", ""PC::Different Versions in Police and Complaint Cases"", ""PC::Acknowledgement of Mortgage in 1960""]"
"For Proving adultery are these sufficient for divorce :-  

1) His Whats app chat Export files mentioning visit to lodge  or extensive sexual message exchanges happening at late night hours   

2) A Notorised Affidavit done by spouse as confession and admission

3) A self handwritten letter confession letter of his extramarital relations 

4) Pics  of his girlfriend found on her mobile and email( East Delhi, Delhi )","1, 2, 3, 4 - Not enough","[""HKG::HMA_13"", ""HKG::HMA_13B"", ""HKG::HMA_14"", ""HKG::CRPC_362""]","[""PC::Partition Not Absolute"", ""PC::Motive Not Established"", ""PC::Partition of Property Not Established"", ""PC::Appellant Not Entitled to Maintenance""]"
"I got married 14 years before. my husband and I am a government employee. i have transferred a lot of money to our joint account (which is now closed). we have a joint flat in Noida . All payment has been made from joint account and loan for that flat . We have a joint locker, in which my all ornaments have been kept. next I have one flat in dehradun on my name and all payment of that flat is made by me solely through loan and my salary account. we have one daughter of 12 years.

As my husband always humiliate me, insult me and want my all money and create a lot of nonsense in front of our daughter, 3 months before,i leave my own house along with my all goods and shifted to a rented accommodation with my daughter. He is not agree to leave my house. I am still paying installment of my house. keys of our joint locker and flat in noida are with my husband.

he send me a draft divorce  petition through email. but when i demand for my house, he refused divorce and send me court notice under section 9 of family act.

my daughter and  I dont want to live with me. I am paying rent, installment of my house ,managing  our daily expense. I want to sell my house but my husband is living there. 
 Pl advice me what to do( Dehradun, Uttarakhand )","Dear Madam,As a counter file DV case with the following reliefsPRAYERHENCE THE APPLICANT HUMBLY PRAYSA)	to take cognizance for the offence punishable u/s 498A IPC and punish Respondent No.1 to 3 as per law and extend  police protection to the deponent,B)	Pass orders u/s 19, based upon S.17, granting separate residence  for herself and her three children at a monthly rent of Rs. 20,000/- and advance of Rs. 5,00,000/-.C)	Pass orders u/s 18, in totality against Respondent No.1 to 3,D)	Pass orders u/s 20(i) granting Rs.25,000/- per month as maintenance for applicant and maintenance at the rate of Rs. 5,000/- each per month to her three children.E)	Pass orders granting Rs. 5,00,000/- for setting up house hold requirements, in granted residence, to make it livable, as the applicant cannot return to the house of Respondent No.1  as he is residing in the house of respondent No. 3, which is legally prohibited,F)	Pass orders granting litigation expenses of Rs.1,00,000/- as the applicant made to wander from pillar to post for getting legal aid to attend the Honâble Court, whereas, the Respondent No.1  falsely filed Divorce Petition.G)	The applicant also filed interim application supported by affidavit u/s 23(1) and (2) of D.V.Act,H)	That any other order/s, this Honâble Court deems fit, to meet the ends of justice, be passed.For full procedure contact me on mobile through Vidhikarya.Rate me Five Star *Please visit the following link.https://vidhikarya.com/LawyerRating/9506c43f5d0b2d266a07","[""HKG::HMA_24"", ""HKG::HMA_25"", ""HKG::CRPC_125"", ""HKG::CRPC_128""]","[""PC::Family Court Fixed Maintenance at Rs. 20,000 per Month"", ""PC::Settlement Amount of Rs. 10,00,000 Agreed"", ""PC::Court Increased Maintenance to Rs. 40,000 per Month"", ""PC::Previous Rent Set at Rs. 600 per Month""]"
"Sir i know a  muslim woman who was divorced because she  could not bear a child. Now I want to know can she adopt a child and live as single parent( Pulwama, Jammu and Kashmir )","Dear client,Ideally, the Muslim personal law doesn't allow a single woman to adopt a child. However, you she do so under the Juvenile Justice Act, 2000. The JJ Act, 2000 is a secular law enabling any person, irrespective of the religion he professes, to take a child in adoption. It is akin to the Special Marriage Act 1954, which enables any person living in India to get married under that Act, irrespective of the religion he follows","[""PC::Section 5 of the Jammu and Kashmir Constitution Act"", ""PC::Section 47 of the Constitution of Jammu and Kashmir"", ""PC::Magistrate Granted Maintenance to Divorced Muslim Woman"", ""PC::High Court Found Wealth Tax Act Not Applicable to Jammu and Kashmir""]","[""PC::Section 20 of the Juvenile Justice Act, 2000"", ""PC::Juvenile Justice Act, 2000"", ""PC::Section 69(1) of the Juvenile Justice Act, 2000"", ""PC::Section 37 of the Special Marriage Act, 1954""]"
"Dear Sir 
My father has purchased a home in varanasi city on my elder brother name when he was minor or an age of less than 18 Years old 
It was late 1980
Since 2003 the property was on his name only 
After 2003 my mother transfered the property on her own name due to my elder brothers miss conducts in life
But before the registrate gift to my mother he took a mortgaged loan and original paper are in bank custody as mortgaged 
After few years when my mother came to know that my brother has been defaulters to the bank
Then I paid the loan and freed the property 
After that my mother has gifted the property to me 
Now I have transferred property in my name After my mother death 
Now one my sister claiming and sent a legal notice for her share in the property 
Since I have 6 brothers and 4 sisters all meried 
Father and mother both dead 
Is any legal obligation for me to share the property within my brothers and sister 
Kindly advise( Varanasi, Uttar Pradesh )","Dear Client,All children of your parents have a right to equal share in the property regardless if it is a male or a female but only in the circumstance of a partition or will or when died intestate. But when the property was specifically given through a gift deed then the gift can not be revoked unless the consent to give that gift was obtained fraudulently. hence the transer should be a gift.","[""HKG::HMA_26"", ""HKG::HAMA_20"", ""HKG::HMGA_6"", ""HKG::HSA_8""]","[""PC::Appellants Claimed Title Through Gift Deed"", ""PC::Document Purported to be a Will or Gift"", ""PC::Equal Share in Property Established"", ""HKG::ISA_37""]"
"I am with my father's adoptation I need to go with my mother( Dindigul, Tamil Nadu )","Dear ClientAs per your inputs you wish to go with your mother, if you are major you can take decision of staying as per your wish, if you are girl child the court award the custody of girl child to the motherso let me know if you are a girl child or majori will extend my legal support to you","[""HKG::HMA_26"", ""HKG::HAMA_20"", ""HKG::HMGA_6""]","[""PC::Custody of Child Granted to Mother"", ""PC::Custody of Minor Child Disputed"", ""HKG::HMA_26"", ""PC::Minor Girl Employed as Maid""]"
